ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1945814547,XAUGBP,SELL,2026-09-21T00:00:56+00:00,2026-09-21T00:07:24.736383+00:00,6.4,BREAKOUT_RETEST,TREND,65.9,NORMAL,-2.58,-0.06,-1.0202,0.4818,1.0202,[sl 3265.36],INITIAL
1945840895,XAUEUR,SELL,2026-09-21T00:09:42+00:00,2026-09-21T00:20:52.906060+00:00,11.1,SESSION_EXPANSION,SQUEEZE,67.6,NORMAL,5.64,-0.06,1.9,1.9,0.1743,[tp 3797.63],NORMAL_FLOW
1945944320,XAUCHF,SELL,2026-09-21T00:44:52+00:00,2026-09-21T00:52:05.967123+00:00,7.2,BREAKOUT_RETEST,HIGH_VOL,61.1,NORMAL,1.45,-0.06,0.4099,1.1728,0.4617,[sl 3590.33],NORMAL_FLOW
1946578771,XAUEUR,SELL,2026-09-21T05:07:42+00:00,2026-09-21T05:22:50.840629+00:00,15.1,BREAKOUT_RETEST,SQUEEZE,63.2,NORMAL,-3.33,-0.06,-1.0026,0.5342,1.0026,[sl 3798.66],PROVING
1946582701,XAUCHF,SELL,2026-09-21T05:10:41+00:00,2026-09-21T05:22:46.502545+00:00,12.1,BREAKOUT_RETEST,SQUEEZE,64.0,NORMAL,-3.46,-0.06,-1.0565,0.2119,1.0565,[sl 3587.58],INITIAL
1946601843,XAUAUD,SELL,2026-09-21T05:21:00+00:00,2026-09-21T05:23:41.421452+00:00,2.6,BREAKOUT_ACCEPTANCE,TREND,62.8,NORMAL,-3.61,-0.06,-1.1267,0.0,1.1267,[sl 6120.72],INITIAL
1946702257,XAUEUR,SELL,2026-09-21T05:55:04+00:00,2026-09-21T06:36:15.350771+00:00,41.2,BREAKOUT_RETEST,TREND,60.5,NORMAL,1.69,-0.06,0.4359,1.2906,0.6026,[sl 3792.00],NORMAL_FLOW
1946788634,XAUGBP,SELL,2026-09-21T06:25:06+00:00,2026-09-21T06:40:38.750883+00:00,15.5,BREAKOUT_RETEST,TREND,64.9,NORMAL,-3.83,-0.06,-1.0189,0.1595,1.0189,[sl 3253.52],INITIAL
1946795380,XAUCHF,SELL,2026-09-21T06:27:38+00:00,2026-09-21T06:40:38.750883+00:00,13.0,BREAKOUT_RETEST,TREND,60.5,NORMAL,-4.48,-0.06,-1.0428,0.394,1.0428,[sl 3583.89],INITIAL
1946803797,XAUJPY,SELL,2026-09-21T06:31:12+00:00,2026-09-21T06:40:46.349791+00:00,9.6,BREAKOUT_RETEST,TREND,60.3,NORMAL,-3.95,-0.06,-1.0025,0.2221,1.0025,[sl 683726],INITIAL
1946815225,DE40,BUY,2026-09-21T06:36:41+00:00,2026-09-21T06:44:28.149937+00:00,7.7,BREAKOUT_RETEST,TREND,62.9,NORMAL,-2.96,0.0,-0.9512,0.2895,0.9512,[sl 25453.61],INITIAL
1946858933,XAUAUD,SELL,2026-09-21T06:54:15+00:00,2026-09-21T07:02:17.811482+00:00,8.0,BREAKOUT_RETEST,TREND,60.5,NORMAL,1.1,-0.06,0.3741,1.119,0.5724,[sl 6102.44],NORMAL_FLOW
1946878712,XAUEUR,SELL,2026-09-21T07:00:37+00:00,2026-09-21T07:03:13.404757+00:00,2.5,BREAKOUT_RETEST,TREND,66.9,NORMAL,-3.41,-0.06,-1.1207,0.5402,1.1207,[sl 3793.36],PROVING
1946973895,DE40,BUY,2026-09-21T07:28:28+00:00,2026-09-21T07:32:45.971967+00:00,4.3,BREAKOUT_RETEST,TREND,83.6,EXCEPTIONAL,-4.2,0.0,-1.0183,0.2702,1.0183,[sl 25489.64],INITIAL
1948197281,US30,SELL,2026-09-21T13:43:33+00:00,2026-09-21T13:50:52.233672+00:00,7.3,MOMENTUM_CONTINUATION,HIGH_VOL,76.9,STRONG,-3.27,0.0,-0.97,0.7991,0.9878,[sl 51840.65],PROVING
1948304371,UK100,SELL,2026-09-21T14:03:00+00:00,2026-09-21T14:10:02.059510+00:00,7.0,MOMENTUM_CONTINUATION,TREND,78.6,STRONG,-3.48,0.0,-1.0432,0.2038,1.0432,[sl 10728.94],INITIAL
