ticket,symbol,side,opened_utc,closed_utc,minutes,tactic,regime,score,tier,net_money,commission,realised_r,mfe_r,mae_r,exit_reason,final_state
1955703133,XAUUSD,SELL,2026-09-23T07:09:08+00:00,2026-09-23T07:35:20.488966+00:00,26.2,BREAKOUT_RETEST,TREND,71.8,STRONG,12.11,-0.12,2.0872,2.1641,0.0,[tp 4319.70],STRONG_FLOW
1955764556,XAUGBP,SELL,2026-09-23T07:27:27+00:00,2026-09-23T07:56:13.025490+00:00,28.8,BREAKOUT_RETEST,TREND,76.0,STRONG,-3.15,-0.06,-1.0334,0.7592,1.0334,[sl 3250.11],PROVING
1955825689,EURAUD,BUY,2026-09-23T07:45:30+00:00,2026-09-23T08:15:19.462570+00:00,29.8,BREAKOUT_RETEST,TREND,61.3,NORMAL,-5.43,-0.72,-1.1148,0.4426,1.1148,[sl 1.61139],INITIAL
1955839487,GBPAUD,BUY,2026-09-23T07:51:07+00:00,2026-09-23T08:46:36.361844+00:00,55.4,SESSION_EXPANSION,TREND,72.5,STRONG,-7.61,-0.88,-1.0822,0.4247,1.0822,[sl 1.87722],INITIAL
1955919113,UK100,SELL,2026-09-23T08:15:14+00:00,2026-09-23T08:38:42.254446+00:00,23.5,BREAKOUT_RETEST,TREND,62.2,NORMAL,4.24,0.0,1.1459,1.2108,0.6919,[tp 10731.45],NORMAL_FLOW
1956092333,XAUEUR,SELL,2026-09-23T09:18:26+00:00,2026-09-23T09:47:15.342661+00:00,28.8,BREAKOUT_RETEST,SQUEEZE,64.1,NORMAL,3.05,-0.06,1.2702,1.2702,0.7298,[tp 3779.35],NORMAL_FLOW
1956235909,GBPUSD,SELL,2026-09-23T10:03:05+00:00,2026-09-23T10:30:57.287605+00:00,27.9,MOMENTUM_CONTINUATION,HIGH_VOL,74.5,STRONG,7.27,-1.0,1.3261,1.3261,0.6739,[tp 1.32800],NORMAL_FLOW
1956244661,XAUEUR,SELL,2026-09-23T10:05:09+00:00,2026-09-23T10:48:37.763385+00:00,43.5,BREAKOUT_RETEST,SQUEEZE,61.9,NORMAL,2.78,-0.06,1.1107,1.1208,0.8893,[tp 3779.62],NORMAL_FLOW
1956414050,GBPAUD,BUY,2026-09-23T11:12:10+00:00,2026-09-23T11:19:45.214925+00:00,7.6,BREAKOUT_RETEST,TREND,69.2,NORMAL,3.94,-0.66,1.0588,1.0588,0.25,[tp 1.87922],PROVING
1956443852,US30,SELL,2026-09-23T11:21:27+00:00,2026-09-23T11:32:37.476156+00:00,11.2,BREAKOUT_RETEST,TREND,71.9,STRONG,12.38,0.0,2.1755,2.1834,0.0476,[tp 51778.19],STRONG_FLOW
1956454360,UK100,SELL,2026-09-23T11:22:39+00:00,2026-09-23T11:47:18.694244+00:00,24.6,BREAKOUT_RETEST,TREND,70.5,STRONG,0.07,0.0,0.0115,1.6935,0.1382,[sl 10699.87],STRONG_FLOW
1956505645,US30,SELL,2026-09-23T11:34:38+00:00,2026-09-23T11:38:58.127419+00:00,4.3,MOMENTUM_CONTINUATION,HIGH_VOL,75.6,STRONG,8.77,0.0,1.684,1.684,0.1606,[tp 51723.41],STRONG_FLOW
1956521592,XAUEUR,SELL,2026-09-23T11:38:44+00:00,2026-09-23T11:43:31.795745+00:00,4.8,BREAKOUT_RETEST,TREND,72.4,STRONG,-3.59,-0.06,-0.9928,0.7343,0.9928,[sl 3772.81],PROVING
1956573804,US30,SELL,2026-09-23T11:48:20+00:00,2026-09-23T12:00:16.665688+00:00,11.9,MOMENTUM_CONTINUATION,HIGH_VOL,74.7,STRONG,-5.68,0.0,-1.0423,0.2488,1.0423,[sl 51806.67],INITIAL
1956660310,XAUAUD,BUY,2026-09-23T12:14:01+00:00,2026-09-23T12:20:21.724448+00:00,6.3,BREAKOUT_RETEST,HIGH_VOL,69.3,NORMAL,-3.82,-0.06,-1.0632,0.2331,1.0632,[sl 6103.43],INITIAL
1956886405,UK100,SELL,2026-09-23T13:09:53+00:00,2026-09-23T13:26:15.200688+00:00,16.3,BREAKOUT_RETEST,TREND,62.8,NORMAL,-4.16,0.0,-1.1159,0.5579,1.1159,[sl 10709.62],PROVING
1957005540,EURAUD,BUY,2026-09-23T13:33:13+00:00,2026-09-23T13:54:16.897025+00:00,21.1,MOMENTUM_CONTINUATION,HIGH_VOL,80.5,STRONG,9.09,-0.66,2.3182,2.3182,0.6364,[tp 1.61810],STRONG_FLOW
1957025241,US30,BUY,2026-09-23T13:36:37+00:00,2026-09-23T13:38:34.477232+00:00,1.9,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,70.6,STRONG,2.43,0.0,0.5843,0.5843,0.8538,[tp 51810.10],PROVING
1957039202,US30,BUY,2026-09-23T13:39:37+00:00,2026-09-23T13:43:08.365236+00:00,3.5,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,68.4,NORMAL,-4.04,0.0,-0.9915,0.0517,1.0007,[sl 51718.74],INITIAL
1957105578,GBPUSD,BUY,2026-09-23T13:47:13+00:00,2026-09-23T13:49:36.268238+00:00,2.4,LIQUIDITY_SWEEP_REVERSAL,HIGH_VOL,73.8,STRONG,-8.07,-0.72,-1.0714,0.0571,1.0714,[sl 1.32597],REVERSAL
